Angle deg,Incidence angle rad,IAM_transv SAM,IAM_log SAM,IAM_transv SOL,IAM_log SOL,IAM_log SOL_real,IAM_transv SOL_real,IAM_transv SOL_old,IAM_log SOL_old
45.8,0.799360797,0.859844541,0.620479747,0.829674117,0.652080979,,,0.877026494,0.65780358
45.9,0.801106127,0.858939695,0.618656126,0.828552874,0.650592115,,,0.876179324,0.656443109
46,0.802851456,0.858031003,0.61682865,0.827427126,0.6491007,,,0.875327237,0.655080283
46.1,0.804596785,0.857118456,0.61499734,0.826296874,0.647606742,,,0.874470225,0.65371511
46.2,0.806342114,0.856202049,0.61316222,0.82516212,0.646110253,,,0.873608281,0.652347597
46.3,0.808087444,0.855281772,0.611323309,0.824022864,0.644611242,,,0.872741396,0.650977751
46.4,0.809832773,0.85435762,0.609480631,0.822879106,0.64310972,,,0.871869564,0.649605578
46.5,0.811578102,0.853429584,0.607634207,0.821730848,0.641605697,,,0.870992778,0.648231087
46.6,0.813323431,0.852497657,0.605784061,0.820578091,0.640099184,,,0.870111028,0.646854283
46.7,0.815068761,0.851561832,0.603930213,0.819420837,0.638590192,,,0.86922431,0.645475176
46.8,0.81681409,0.8506221,0.602072687,0.818259085,0.637078731,,,0.868332614,0.64409377
46.9,0.818559419,0.849678456,0.600211506,0.817092839,0.635564812,,,0.867435934,0.642710075
47,0.820304748,0.848730891,0.598346692,0.815922098,0.634048445,,,0.866534263,0.641324097
47.1,0.822050078,0.847779398,0.596478268,0.814746865,0.632529641,,,0.865627594,0.639935844
47.2,0.823795407,0.84682397,0.594606259,0.813567141,0.631008411,,,0.86471592,0.638545323
47.3,0.825540736,0.845864598,0.592730687,0.812382927,0.629484766,,,0.863799233,0.637152542
47.4,0.827286065,0.844901276,0.590851575,0.811194226,0.627958718,,,0.862877528,0.635757508
47.5,0.829031395,0.843933997,0.588968948,0.810001039,0.626430275,,,0.861950797,0.634360229
47.6,0.830776724,0.842962752,0.587082829,0.808803369,0.624899451,,,0.861019034,0.632960712
47.7,0.832522053,0.841987534,0.585193243,0.807601216,0.623366256,,,0.860082232,0.631558966
47.8,0.834267382,0.841008337,0.583300214,0.806394584,0.621830701,,,0.859140384,0.630154997
47.9,0.836012712,0.840025152,0.581403765,0.805183473,0.620292797,,,0.858193485,0.628748814
48,0.837758041,0.839037972,0.579503923,0.803967888,0.618752556,,,0.857241527,0.627340424
48.1,0.83950337,0.83804679,0.57760071,0.802747829,0.617209988,,,0.856284504,0.625929835
48.2,0.841248699,0.837051599,0.575694153,0.801523299,0.615665106,,,0.85532241,0.624517055
48.3,0.842994029,0.83605239,0.573784276,0.800294301,0.614117921,,,0.854355239,0.623102092
48.4,0.844739358,0.835049156,0.571871104,0.799060837,0.612568443,,,0.853382985,0.621684954
48.5,0.846484687,0.834041891,0.569954663,0.797822909,0.611016685,,,0.852405641,0.620265649
48.6,0.848230016,0.833030586,0.568034977,0.796580522,0.609462659,,,0.851423202,0.618844184
48.7,0.849975346,0.832015234,0.566112074,0.795333676,0.607906375,,,0.850435661,0.617420569
48.8,0.851720675,0.830995828,0.564185979,0.794082375,0.606347846,,,0.849443014,0.615994811
48.9,0.853466004,0.829972361,0.562256717,0.792826623,0.604787083,,,0.848445253,0.614566918
49,0.855211333,0.828944824,0.560324315,0.791566421,0.603224098,,,0.847442373,0.613136898
49.1,0.856956663,0.82791321,0.558388799,0.790301774,0.601658902,,,0.846434369,0.611704761
49.2,0.858701992,0.826877513,0.556450196,0.789032684,0.600091509,,,0.845421235,0.610270513
49.3,0.860447321,0.825837725,0.554508531,0.787759155,0.598521929,,,0.844402965,0.608834164
49.4,0.86219265,0.824793837,0.552563833,0.786481189,0.596950175,,,0.843379554,0.607395721
49.5,0.86393798,0.823745844,0.550616128,0.785198791,0.595376259,,,0.842350997,0.605955194
49.6,0.865683309,0.822693736,0.548665443,0.783911964,0.593800193,,,0.841317288,0.604512591
49.7,0.867428638,0.821637508,0.546711805,0.782620712,0.592221989,,,0.840278422,0.603067919
49.8,0.869173967,0.820577151,0.544755241,0.781325037,0.590641658,,,0.839234394,0.601621188
49.9,0.870919297,0.819512658,0.54279578,0.780024945,0.589059215,,,0.838185199,0.600172407
50,0.872664626,0.818444022,0.54083345,0.778720438,0.58747467,,,0.837130832,0.598721583
50.1,0.874409955,0.817371235,0.538868277,0.777411521,0.585888037,,,0.836071287,0.597268726
50.2,0.876155285,0.81629429,0.53690029,0.776098198,0.584299327,,,0.83500656,0.595813845
50.3,0.877900614,0.815213179,0.534929518,0.774780472,0.582708553,,,0.833936646,0.594356947
50.4,0.879645943,0.814127896,0.532955988,0.773458348,0.581115728,,,0.83286154,0.592898043
50.5,0.881391272,0.813038432,0.530979729,0.772131831,0.579520864,,,0.831781238,0.59143714
50.6,0.883136602,0.81194478,0.529000771,0.770800924,0.577923974,,,0.830695735,0.589974248
50.7,0.884881931,0.810846932,0.527019141,0.769465631,0.57632507,,,0.829605026,0.588509375
50.8,0.88662726,0.809744882,0.525034869,0.768125959,0.574724166,,,0.828509107,0.587042531
50.9,0.888372589,0.808638622,0.523047984,0.76678191,0.573121274,,,0.827407973,0.585573725
51,0.890117919,0.807528144,0.521058516,0.76543349,0.571516407,,,0.82630162,0.584102965
51.1,0.891863248,0.806413441,0.519066494,0.764080703,0.569909578,,,0.825190044,0.582630261
51.2,0.893608577,0.805294506,0.517071947,0.762723554,0.568300799,,,0.824073241,0.581155622
51.3,0.895353906,0.804171331,0.515074906,0.761362048,0.566690085,,,0.822951205,0.579679057
51.4,0.897099236,0.803043909,0.5130754,0.75999619,0.565077447,,,0.821823935,0.578200575
51.5,0.898844565,0.801912232,0.51107346,0.758625986,0.5634629,,,0.820691424,0.576720186
51.6,0.900589894,0.800776293,0.509069116,0.757251439,0.561846456,,,0.81955367,0.575237898
51.7,0.902335223,0.799636084,0.507062398,0.755872556,0.560228128,,,0.818410668,0.573753722
51.8,0.904080553,0.798491599,0.505053338,0.754489342,0.55860793,,,0.817262415,0.572267667
51.9,0.905825882,0.797342829,0.503041965,0.753101802,0.556985875,,,0.816108907,0.570779741
52,0.907571211,0.796189767,0.501028312,0.751709941,0.555361977,,,0.81495014,0.569289956
52.1,0.90931654,0.795032406,0.499012408,0.750313765,0.553736248,,,0.813786111,0.567798319
52.2,0.91106187,0.793870739,0.496994286,0.748913281,0.552108703,,,0.812616816,0.566304841
52.3,0.912807199,0.792704757,0.494973976,0.747508492,0.550479355,,,0.811442251,0.564809531
52.4,0.914552528,0.791534454,0.492951511,0.746099406,0.548848217,,,0.810262414,0.5633124
52.5,0.916297857,0.790359822,0.490926922,0.744686028,0.547215304,,,0.8090773,0.561813456
52.6,0.918043187,0.789180854,0.488900241,0.743268364,0.545580628,,,0.807886908,0.560312709
52.7,0.919788516,0.787997542,0.4868715,0.74184642,0.543944204,,,0.806691232,0.55881017
52.8,0.921533845,0.786809878,0.484840732,0.740420202,0.542306046,,,0.805490272,0.557305847
52.9,0.923279174,0.785617856,0.482807969,0.738989717,0.540666167,,,0.804284022,0.555799752
53,0.925024504,0.784421468,0.480773243,0.73755497,0.539024582,,,0.80307248,0.554291893
53.1,0.926769833,0.783220707,0.478736587,0.736115968,0.537381304,,,0.801855645,0.552782281
53.2,0.928515162,0.782015565,0.476698034,0.734672718,0.535736347,,,0.800633511,0.551270926
53.3,0.930260491,0.780806034,0.474657618,0.733225226,0.534089725,,,0.799406077,0.549757837
53.4,0.932005821,0.779592108,0.47261537,0.731773498,0.532441453,,,0.798173341,0.548243025
53.5,0.93375115,0.778373778,0.470571326,0.730317541,0.530791545,,,0.796935298,0.546726501
53.6,0.935496479,0.777151038,0.468525517,0.728857363,0.529140015,,,0.795691948,0.545208273
53.7,0.937241808,0.77592388,0.466477979,0.727392969,0.527486877,,,0.794443287,0.543688353
53.8,0.938987138,0.774692297,0.464428745,0.725924367,0.525832145,,,0.793189313,0.54216675
53.9,0.940732467,0.773456281,0.462377848,0.724451564,0.524175835,,,0.791930023,0.540643476
54,0.942477796,0.772215824,0.460325323,0.722974567,0.52251796,,,0.790665415,0.539118539
54.1,0.944223125,0.77097092,0.458271205,0.721493383,0.520858535,,,0.789395488,0.537591952
54.2,0.945968455,0.769721561,0.456215528,0.720008019,0.519197575,,,0.788120238,0.536063723
54.3,0.947713784,0.768467739,0.454158326,0.718518483,0.517535094,,,0.786839664,0.534533864
54.4,0.949459113,0.767209447,0.452099635,0.717024781,0.515871107,,,0.785553764,0.533002385
54.5,0.951204442,0.765946678,0.450039489,0.715526923,0.514205628,,,0.784262535,0.531469296
54.6,0.952949772,0.764679424,0.447977924,0.714024914,0.512538673,,,0.782965977,0.529934608
54.7,0.954695101,0.763407678,0.445914974,0.712518763,0.510870256,,,0.781664086,0.528398333
54.8,0.95644043,0.762131432,0.443850676,0.711008478,0.509200392,,,0.780356862,0.52686048
54.9,0.958185759,0.76085068,0.441785065,0.709494066,0.507529096,,,0.779044302,0.52532106
55,0.959931089,0.759565412,0.439718177,0.707975535,0.505856384,,,0.777726405,0.523780084
55.1,0.961676418,0.758275623,0.437650047,0.706452894,0.504182269,,,0.77640317,0.522237562
55.2,0.963421747,0.756981304,0.435580712,0.70492615,0.502506767,,,0.775074594,0.520693507
55.3,0.965167076,0.755682449,0.433510208,0.703395311,0.500829894,,,0.773740677,0.519147927
55.4,0.966912406,0.75437905,0.431438572,0.701860386,0.499151664,,,0.772401418,0.517600836
55.5,0.968657735,0.753071098,0.42936584,0.700321382,0.497472093,,,0.771056814,0.516052242
55.6,0.970403064,0.751758588,0.427292048,0.698778309,0.495791196,,,0.769706865,0.514502159
55.7,0.972148393,0.750441512,0.425217235,0.697231175,0.494108989,,,0.76835157,0.512950595
55.8,0.973893723,0.749119861,0.423141436,0.695679989,0.492425486,,,0.766990927,0.511397563
55.9,0.975639052,0.747793629,0.42106469,0.694124758,0.490740704,,,0.765624936,0.509843074
56,0.977384381,0.746462809,0.418987033,0.692565492,0.489054658,,,0.764253595,0.508287139
56.1,0.97912971,0.745127392,0.416908503,0.691002199,0.487367363,,,0.762876905,0.506729769
56.2,0.98087504,0.743787372,0.414829138,0.689434889,0.485678836,,,0.761494863,0.505170975
56.3,0.982620369,0.742442741,0.412748976,0.68786357,0.483989091,,,0.760107469,0.503610769
56.4,0.984365698,0.741093491,0.410668055,0.686288252,0.482298145,,,0.758714723,0.502049163
